,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2011-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0103382492739148,1.0092100845423866
2011-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0097814915160022,1.007597473896117
2011-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0150302270109397,1.0113525419573592
2011-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0130415900357346,1.008922742646369
2011-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0110540692868806,1.0080146347211176
2011-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.009781491516002,1.0067551420373146
2011-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0133600334676551,1.0107833305863907
2011-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0225051165025374,1.0195928254410993
2011-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0208354013419751,1.0173178114931603
2011-01-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0282309590321808,1.0234433627622348
2011-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0299804046464038,1.026140527826247
2011-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.019880708889842,1.015094939427012
2011-01-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0185289587784785,1.0140243892996952
2011-01-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0208354013419754,1.0159908095227406
2011-01-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0266405756730108,1.0212352546004937
2011-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.027197014509109,1.0215083899737845
2011-01-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0311730925027145,1.0271271497981656
2011-01-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0337181683140177,1.027765590075909
2011-01-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0156663963006987,1.0102076507373399
2011-01-31,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.0233001088559888,1.018761966573655
2011-02-01,1.0170586049121229,1.0170586049121229,1.0170586049121229,1.0124470758467852,1.0167338607810334,1.0170586049121229,1.0396823251696525,1.0348337688127822
2011-02-02,1.0143628172017551,1.0143628172017551,1.0143628172017551,1.0093134451762973,1.0145071191340693,1.0143628172017551,1.0376941665771693,1.03171478630975
2011-02-03,1.0199631058545382,1.0199631058545382,1.0199631058545382,1.0155037253872132,1.0188439508470668,1.0199631058545382,1.040000130757944,1.0351173725595124
2011-02-04,1.023574831859092,1.023574831859092,1.023574831859092,1.0207911612935163,1.0209036802282592,1.023574831859092,1.0429425034198385,1.0372104592375553
2011-02-07,1.030404731129076,1.030404731129076,1.030404731129076,1.028306061675027,1.0274949490271386,1.030404731129076,1.0494633383029326,1.0431466153913023
2011-02-08,1.037951815504173,1.037951815504173,1.037951815504173,1.0379364673324376,1.03230129632205,1.037951815504173,1.0542348073022567,1.0474658560148347
